record_id,label,group,source_row,source,initial_fold,initial_split,split,sha256
0,0,0,0,legit,6,train,train,5467f21f4d4b52da8e3cf686c10f855adb934420d3c4cab1e5dfa4fe2c97e8e8
1,0,0,1,legit,8,train,train,ccad66175c1dc2e17bbf8fd3c6120693b4972873312f1539955fdf349f94385b
2,0,2,2,legit,9,train,train,eaf62957fb235523fada73a389c1075a16137639d95d213cf5734569cffcf3e0
3,0,2,3,legit,9,train,train,a4e84c78deef52eeff2831637886ba09c20dfeaa53c8df7c9b4db197cb501654
4,0,2,4,legit,9,train,train,86777cca7296048f78e3adc03e6894cd2b683d48cd2df93b7f7dfeabfc4a4e30
5,0,2,5,legit,9,train,train,054249ebfac6d47918b3554b9000cc37ba2d89d0d2cf068fd24496332d31b26b
6,0,2,6,legit,9,train,train,c21e7e452ffa9d68de1f9c0a178dfac6dc909403a14a3909f59e8b8f372b0f75
7,0,2,7,legit,9,train,train,987a7476e9f85a96a5ba5d763e485418b609c90bdcf26c9c71bd3090e2bc6f01
8,0,2,8,legit,6,train,train,9e86aab8948a7da488c5bef0a263e795c0ca79fc1c014913d22bb49321a2c9cc
9,0,2,9,legit,7,train,train,5825463bd2e24cdc7b8e81f0091fff3567293247c50689ca0b1ff37fca0bb02d
10,0,10,10,legit,8,train,train,fbd43887179b442c61b11479e8eaf296a6f4920a537aa7d74caeef622fd1193e
11,0,11,11,legit,9,train,train,79a52aea5bb54c05c45f6f0bad4e36b195a782b4985dfef6379c0177d134192e
12,0,12,12,legit,6,train,train,7dd24c40cdc29fbea935ddb6081416868a23f858f398b76a6082d1b722a433ee
13,0,13,13,legit,7,train,train,aa4718dbc3b06f0cc159133e2436c11913f551e20397c09548a156c524bbaae6
14,0,14,14,legit,1,test,test,e459f67c913b0475778416eed7ef4215db483bc0435efb388aa52d711964c40b
15,0,14,15,legit,1,test,test,5d321e322c7733bc190f1db67db3d66d773882ea0698446e75763266046888a7
16,0,16,16,legit,2,calibration,calibration,511831ee0be572f2d4bc36e6b39d451b443fab2e8904fbff9e8f32c3737d7c67
17,0,16,17,legit,2,calibration,calibration,1764a20506feee13fafde7f596a1c245bb9f3ae2847a2d9e7e5a8b2b07be203c
18,0,18,18,legit,3,validation,validation,6f4c5b10f95db2da6f680aefa6f0c3a208609e2bbc7de2940571a349a38154be
19,0,18,19,legit,3,validation,validation,13d12580840f7aebff958dfdfab0c5d6928add632b07faed71b828fb4cf5db01
20,0,20,20,legit,4,train,train,2770306024fd0bd55effe3ac254da825efa4ca80f9a36692e83c0990652dcc58
21,0,21,21,legit,5,train,train,75edcb038cbb62877470901c530ef6505ede1750bd5a345e53929923ac4a29ae
22,0,21,22,legit,5,train,train,5fb96e3ba8d08d858d4ab7116f11f6dedaf989462162a49cbe9daa5407bc4cab
23,0,21,23,legit,5,train,train,f346e78aae63ae7ad9b7a8aaae72d0b8e9150473ece841f552dd235b6451feb2
24,0,24,24,legit,8,train,train,93f0cb2a107b30b26aae7a2234c895c6c78e173e8b1a9e04941db665892a4a9c
25,0,25,25,legit,9,train,train,dbfaa8f742d1acc66d4e7886a7e79da65d3bbb5dd9d0b2dc9b9d049ee2662362
26,0,25,26,legit,9,train,train,c80ce13c6be0fec96cfe03300db7b44d84562936f1ebf88c92cb77d19f174f43
27,0,27,27,legit,0,test,test,89581b3e81434f50ca7ec6971e385297334a3038c2197e3c9cbd18818159c089
28,0,28,28,legit,6,train,train,4981e888fdfba615538a602ae73675f0b36ecbbfd67fda1fc425d9bca11f595a
29,0,28,29,legit,6,train,train,b5d9e8f42cb7979c19d22fbe003acaf768aaff2935d0b28acd3220dc7f7e6139
30,0,30,30,legit,7,train,train,aa0d35856f05b3b8dee77869b324b9ce47faddea9e0559fdbfb956c2b3c66638
31,0,31,31,legit,8,train,train,c40db88f6c2f420a98499ba5fb9255c7342197b58a9a614c25628e13ab1a292e
32,0,32,32,legit,2,calibration,train,7dbf7682a2b764e95b1c9467e5dd4fe511fb3d668dd2e15309fa53d06e27331d
33,0,32,33,legit,9,train,train,9eefe5f08f1b9c1051e7ca5f6945d630ba84fb24c4950ca9906df0bc65d393b3
34,0,34,34,legit,1,test,test,48dd92ff8376abb944521f9b3bf3612f944c2d61726cf7aac5373c2a51ae728a
35,0,35,35,legit,3,validation,validation,3f7f7f9fac48dd6c498bee727064ec1f26c242cd2f20e15ee505c29d14eaca75
36,0,36,36,legit,4,train,train,2b9bb22da5da3b257afdf048dbfa05ba45872bcc0f7f2ded43305235515ea8c6
37,0,37,37,legit,4,train,train,1e919aea4a4c4e57e610652e244f4fc9d890da3a81205306f08572b2f7faf938
38,0,38,38,legit,5,train,train,aafda23b27cf1661e39fa5e52c3c176374bad2f24bb1c0897c705c46e2bb644e
39,0,38,39,legit,5,train,train,4c0770eb7e3b23c9056cdd1541fd2b36170a835d14314d73306b4b1dd5305da6
40,0,38,40,legit,5,train,train,a51675e56b0d526841ee40dab0e7c845987a9a25b1828fbcb661e2c7a8d7c501
41,0,38,41,legit,5,train,train,63ca20323e0502e108df35d3b517b5923679c082c36e422fc2d2c09007185318
42,0,42,42,legit,0,test,test,7b2a293dabc5d564efbbb670589835b60eb619238b58a445d919feb5c5ee0814
43,0,43,43,legit,2,calibration,calibration,33a46bbf37aa8d35673bfd3a73060e283d86e1a2ad0ed3cafbdc0f6f512fd0ed
44,0,43,44,legit,2,calibration,calibration,01fd9702e6a84a70a9481c101d6ff311a6cbcd46e3f030759771cf4ef53516fd
