match_id,source,map,cheater_labels,hurt_events,group,split
no_cheater_present/0,no_cheater_present,de_inferno,0,36,no_cheater_present/0,calibration
no_cheater_present/1,no_cheater_present,de_inferno,0,360,no_cheater_present/1,validation
no_cheater_present/10,no_cheater_present,de_dust2,0,612,no_cheater_present/10,train
no_cheater_present/100,no_cheater_present,cs_office,0,257,no_cheater_present/100,train
no_cheater_present/101,no_cheater_present,cs_office,0,221,no_cheater_present/101,calibration
no_cheater_present/102,no_cheater_present,cs_office,0,272,no_cheater_present/102,calibration
no_cheater_present/103,no_cheater_present,cs_office,0,200,no_cheater_present/103,train
no_cheater_present/104,no_cheater_present,cs_office,0,211,no_cheater_present/104,calibration
no_cheater_present/105,no_cheater_present,de_anubis,0,116,no_cheater_present/105,train
no_cheater_present/106,no_cheater_present,cs_office,0,911,no_cheater_present/106,train
no_cheater_present/107,no_cheater_present,cs_office,0,417,no_cheater_present/107,test
no_cheater_present/108,no_cheater_present,de_anubis,0,415,no_cheater_present/108,train
no_cheater_present/109,no_cheater_present,de_ancient,0,451,no_cheater_present/109,test
no_cheater_present/11,no_cheater_present,de_dust2,0,429,no_cheater_present/11,train
no_cheater_present/110,no_cheater_present,de_anubis,0,426,no_cheater_present/110,validation
no_cheater_present/111,no_cheater_present,de_vertigo,0,902,no_cheater_present/111,train
no_cheater_present/112,no_cheater_present,de_ancient,0,403,no_cheater_present/112,calibration
no_cheater_present/113,no_cheater_present,de_inferno,0,771,no_cheater_present/113,test
no_cheater_present/114,no_cheater_present,de_anubis,0,734,no_cheater_present/114,validation
no_cheater_present/115,no_cheater_present,de_nuke,0,542,no_cheater_present/115,train
no_cheater_present/116,no_cheater_present,de_ancient,0,721,no_cheater_present/116,train
no_cheater_present/117,no_cheater_present,de_ancient,0,794,no_cheater_present/117,train
no_cheater_present/118,no_cheater_present,de_nuke,0,467,no_cheater_present/118,train
no_cheater_present/119,no_cheater_present,de_nuke,0,554,no_cheater_present/119,train
no_cheater_present/12,no_cheater_present,de_mirage,0,560,no_cheater_present/12,train
no_cheater_present/120,no_cheater_present,de_inferno,0,852,no_cheater_present/120,train
no_cheater_present/121,no_cheater_present,de_anubis,0,641,no_cheater_present/121,test
no_cheater_present/122,no_cheater_present,de_nuke,0,659,no_cheater_present/122,train
no_cheater_present/123,no_cheater_present,de_inferno,0,719,no_cheater_present/123,train
no_cheater_present/124,no_cheater_present,de_ancient,0,655,no_cheater_present/124,validation
no_cheater_present/125,no_cheater_present,de_nuke,0,969,no_cheater_present/125,test
no_cheater_present/126,no_cheater_present,de_inferno,0,438,no_cheater_present/126,train
no_cheater_present/127,no_cheater_present,de_vertigo,0,562,no_cheater_present/127,train
no_cheater_present/128,no_cheater_present,de_vertigo,0,516,no_cheater_present/128,test
no_cheater_present/129,no_cheater_present,de_vertigo,0,500,no_cheater_present/129,train
no_cheater_present/13,no_cheater_present,de_dust2,0,561,no_cheater_present/13,train
no_cheater_present/130,no_cheater_present,de_inferno,0,784,no_cheater_present/130,train
no_cheater_present/131,no_cheater_present,de_nuke,0,99,no_cheater_present/131,train
no_cheater_present/132,no_cheater_present,de_inferno,0,862,no_cheater_present/132,test
no_cheater_present/133,no_cheater_present,de_nuke,0,536,no_cheater_present/133,validation
no_cheater_present/134,no_cheater_present,de_anubis,0,694,no_cheater_present/134,validation
no_cheater_present/135,no_cheater_present,de_inferno,0,654,no_cheater_present/135,validation
no_cheater_present/136,no_cheater_present,de_vertigo,0,700,no_cheater_present/136,test
no_cheater_present/137,no_cheater_present,de_ancient,0,600,no_cheater_present/137,train
no_cheater_present/138,no_cheater_present,de_nuke,0,763,no_cheater_present/138,train
no_cheater_present/139,no_cheater_present,de_vertigo,0,666,no_cheater_present/139,train
no_cheater_present/14,no_cheater_present,de_dust2,0,665,no_cheater_present/14,calibration
no_cheater_present/140,no_cheater_present,de_vertigo,0,570,no_cheater_present/140,calibration
no_cheater_present/141,no_cheater_present,de_train,0,667,no_cheater_present/141,train
no_cheater_present/142,no_cheater_present,de_train,0,533,no_cheater_present/142,calibration
no_cheater_present/143,no_cheater_present,de_train,0,192,no_cheater_present/143,test
